student_id,full_name,gpa,is_enrolled,birth_date
1000000,Yvinnq Hxsxifplmxty,1.67,FALSE,20adsf02-03-25
1000001,Elqyel Oqyetszh,3.10,TRUE,200dfd5-04-27
1000002,Bntgzbk Ikbrwzjop,0.68,TRUE,1990-10-01
1000003,Gcpvfqmhi Hqeer,3.43,FALSE,2000-09-20
1000004,Hchnzxixh Usscoqlvw,3.43,TRUE,2001-01-25
1000005,Uxmbuwipq Uyieu,1.30,TRUE,2002-12-31
1000006,Srricr Dhzdoqhu,2.40,FALSE,2000-08-14
1000007,Ttaaw Cstsjta,0.13,TRUE,2005-03-05
1000008,Tmzcjlfc Afsognzspz,3.28,TRUE,1999-04-09
1000009,Ehvpvdbfnkia Jwilsesygwx,1.10,FALSE,1996-04-12
1000010,Hhwwzjlwusm Bamnxsqz,1.89,TRUE,1998-03-06
1000011,Wbvgdsmpbdu Keqlboyehor,0.76,FALSE,2005-12-05
1000012,Vfugch Pbrnr,0.23,TRUE,1991-05-30
1000013,Rdhpnyzpi Etmwyjav,1.61,FALSE,2001-08-30
1000014,Cfyzzb Frrxsuortbv,1.63,FALSE,2000-10-29
1000015,Phzyyxkyo Dljkvczjxh,2.30,TRUE,1990-09-20
1000016,Hdhjesan Uxtjdeblg,2.25,FALSE,1993-01-28
1000017,Mqrmo Wpmkrhc,0.10,FALSE,2003-06-14
1000018,Afdczkel Tfayauxrua,2.86,TRUE,2003-03-01
1000019,Ogxmetcazkmg Nslucb,0.15,FALSE,1998-11-26
1000020,Oimlygnsc Wysvzlajlhdw,2.99,TRUE,1993-01-01
1000021,Jwkfvcpt Qwkmmiuhmhkn,1.40,TRUE,1993-05-02
1000022,Vrifo Qwibq,3.55,FALSE,1994-04-26
1000023,Jafrporgydoj Vkeaorvjqg,0.29,FALSE,2002-01-21
1000024,Jruabab Skprvwr,0.86,TRUE,2004-11-16
1000025,Nshfeocop Rihverkxfasd,3.30,FALSE,1998-10-17
1000026,Yuqitspcq Vllwsxemm,3.20,TRUE,1997-11-25
1000027,Lqbyjzyazakt Hoflfcj,3.98,FALSE,1998-05-04
1000028,Uhzleo Kvibniumw,3.83,FALSE,1998-10-26
1000029,Kdcgm Umrlgjkddxqh,2.71,FALSE,1998-09-03
1000030,Aweytw Zrwavo,0.01,TRUE,1995-11-30
1000031,Bpubj Cefhhcyeg,1.38,FALSE,1995-05-12
1000032,Qholezncoaxs Nrlzal,0.52,FALSE,2001-06-10
1000033,Uqqkgrn Skrdoyngyow,0.69,FALSE,2004-12-23
1000034,Oqdhxq Epapplcdu,2.71,TRUE,1995-06-14
1000035,Fhncqlsmboe Otwquibeez,3.69,FALSE,2000-12-16
1000036,Rxnwwjdbquhf Egfjjkrqatd,0.97,FALSE,1992-03-19
1000037,Glrabautoxs Qlowaxz,2.52,TRUE,1991-12-03
1000038,Ohaxqsq Ionqnppsn,0.72,FALSE,1995-10-22
1000039,Vbuovh Nzvvtzdpueu,3.82,FALSE,1998-08-29
1000040,Pqsmhvlfnjx Reppcmc,0.61,FALSE,2001-01-05
1000041,Aepywth Djioynnzatbv,1.83,TRUE,1991-10-23
1000042,Fblncszodkmc Bybjayx,0.55,TRUE,2002-03-02
1000043,Jmonruzwmlt Nqdxweo,1.76,TRUE,1991-04-20
1000044,Gpbxyhw Vfujgproblsy,1.44,FALSE,2004-07-20
1000045,Wokzbjsbsz Fbvidvqd,3.18,TRUE,2000-12-25
1000046,Eufbneb Ybgiexyet,1.27,TRUE,2004-06-24
1000047,Tfotopuav Nacxqwb,1.84,FALSE,1993-09-30
1000048,Qcbql Zucjvh,0.58,FALSE,1991-08-31
1000049,Qvzbkkqvm Peqmsvdfsqo,0.38,FALSE,1992-10-13
1000050,Zqodtqjzrk Txitgn,0.08,TRUE,1999-02-28
1000051,Lvzbifd Svayerlmqgiu,1.14,TRUE,2000-04-16
1000052,Qapzuhpdx Qbsira,1.78,TRUE,2003-02-25
1000053,Sxjnbl Vmzfww,0.98,FALSE,2003-11-11
1000054,Fgryg Xjurvbkvkn,3.03,TRUE,1998-07-12
1000055,Qsvql Hzmqopdfskrt,3.19,TRUE,1996-04-08
1000056,Qdigsef Ooyum,0.51,TRUE,1999-03-10
1000057,Ewitjmves Ceikrs,1.53,FALSE,1990-05-12
1000058,Mxkxx Zxtkffv,2.75,FALSE,2001-03-27
1000059,Rlqgt Nkdxawmjzirv,1.79,FALSE,1991-05-02
1000060,Nxjgpxeycp Enziemv,3.13,TRUE,1999-10-06
1000061,Wvjeanrxu Yfqzqnzijf,2.27,TRUE,1999-12-12
1000062,Akwcsn Jsztliyeiah,0.55,TRUE,1995-09-09
1000063,Ozxuckt Urnwde,0.55,TRUE,1993-12-19
1000064,Xawpzeqqwnwy Cmisozykgcm,1.22,FALSE,1993-05-16
